block,neuron,n_dominant,recall_omp,recall_dual,recall_increment,mean_prominence,mean_raw_survival,mean_abs_coef,max_coherence,write_norm
5,1888,23,0.0,0.0,0.0,0.0585,2.9592,7.2307,0.8031,2.5217
5,2073,37,0.5946,0.2162,0.1892,0.1622,2.4169,7.8714,0.8581,2.5466
5,2084,50,0.84,0.84,1.0,0.2255,2.1816,12.1816,0.7105,4.3315
5,2268,45,1.0,1.0,1.0,0.3154,2.6961,9.6581,0.5543,3.9652
5,2672,38,0.4737,1.0,1.0,0.3326,2.9967,9.088,0.4991,3.308
5,2796,23,0.5217,0.2609,0.1739,0.1715,2.1162,9.2268,0.6394,3.5397
6,185,57,0.9825,1.0,0.9825,0.3885,2.7914,10.6006,0.4096,3.4911
6,203,127,0.189,0.8346,0.315,0.2226,2.1409,9.9477,0.8905,2.9278
6,330,95,0.4316,0.3684,0.2632,0.1841,0.6244,10.0203,0.5753,2.8979
6,597,25,0.76,0.84,0.68,0.275,1.6754,12.3306,0.411,4.6478
6,632,23,0.8261,0.9565,1.0,0.2462,1.1498,10.4019,0.4317,3.1807
6,740,69,0.0,0.0,0.0,0.0654,2.6105,9.4484,0.7819,4.1804
6,1365,30,0.4333,0.0,1.0,0.0826,1.2337,9.3863,0.1672,3.023
6,1534,35,0.8857,1.0,1.0,0.2977,2.9129,10.9417,0.5688,3.6914
6,1591,20,1.0,1.0,0.85,0.4186,1.8878,10.1841,0.4766,2.9734
6,1827,31,0.7097,0.9677,1.0,0.3182,2.9594,9.8915,0.4581,3.5733
6,1879,35,0.3714,0.6571,1.0,0.2126,2.1939,9.9479,0.5154,3.6618
6,1912,50,0.2,1.0,0.82,0.2767,2.7325,8.7864,0.5011,2.601
6,2122,60,0.7333,1.0,1.0,0.3377,2.19,10.2931,0.3937,3.583
6,2131,41,1.0,1.0,1.0,0.4378,2.0879,13.9471,0.3296,4.3195
6,2315,23,1.0,1.0,1.0,0.2542,2.0989,9.7023,0.4926,3.552
6,2374,45,0.9333,1.0,0.8222,0.4021,2.9671,11.4882,0.5119,3.316
6,2597,22,0.5,0.6818,0.7273,0.2222,1.1476,11.8568,0.5836,3.9834
6,2662,22,0.9545,0.9545,1.0,0.23,1.1365,10.2603,0.2925,4.4278
6,2810,31,0.8387,0.9355,1.0,0.2188,2.4717,8.0732,0.4854,2.5083
