block,neuron,n_dominant,recall_omp,recall_dual,recall_increment,mean_prominence,mean_raw_survival,mean_abs_coef,max_coherence,write_norm
12,570,269,0.9926,0.9405,0.948,0.2189,0.9616,46.9716,0.2031,6.1423
12,901,20,1.0,1.0,1.0,0.2767,0.741,47.9289,0.246,5.3192
12,1532,23,0.7391,0.8696,1.0,0.1841,1.9059,20.8945,0.2094,5.3463
12,1534,20,1.0,1.0,1.0,0.2412,1.1951,25.0113,0.2229,4.3591
13,480,40,0.375,0.4,1.0,0.1117,2.6257,25.0875,0.3572,4.3974
13,918,30,0.7,0.6,1.0,0.1515,2.3351,24.1757,0.3106,4.2971
13,1136,27,0.0,0.0,1.0,0.1234,-1.0741,14.1813,0.7158,4.2995
13,1210,20,1.0,1.0,1.0,0.2697,1.4329,44.1274,0.232,4.3412
13,1392,92,0.8913,0.9674,1.0,0.2009,2.3046,21.1316,0.3551,3.9791
14,31,36,0.8611,0.4167,1.0,0.1432,1.7862,17.2013,0.353,5.5132
14,226,48,0.0,0.0,0.9583,0.0785,3.0,15.9458,0.6941,4.316
14,410,139,1.0,1.0,1.0,0.3216,1.5003,36.2891,0.28,5.1525
14,428,20,0.25,1.0,1.0,0.4427,2.4585,19.6706,0.6209,4.8216
14,531,51,0.9804,0.9804,1.0,0.2345,1.9358,29.6284,0.3162,4.731
14,603,115,1.0,1.0,1.0,0.3212,1.1887,23.3246,0.7386,5.2199
14,813,20,1.0,1.0,1.0,0.2815,1.9429,26.7185,0.2427,4.5542
14,1087,24,1.0,1.0,1.0,0.3065,2.2684,25.8201,0.3257,4.1849
14,1273,28,1.0,1.0,1.0,0.277,2.0486,21.9785,0.2618,3.8445
14,1449,33,0.6667,0.697,1.0,0.1737,2.4258,20.1078,0.4679,3.8921
15,16,34,1.0,1.0,1.0,0.3753,1.8168,14.6162,0.2772,3.8431
15,29,35,0.9714,0.9714,1.0,0.243,2.4254,25.7769,0.435,4.9939
15,410,31,0.2581,0.0,1.0,0.0856,1.258,13.3201,0.1973,5.2606
15,1262,33,0.9697,0.9091,1.0,0.2419,2.6312,23.1697,0.3167,4.6159
